;Austria;Belgium;Bulgaria;Cyprus;Czechia;Germany;Denmark;Estonia;Spain;Finland;France;Greece;Croatia;Hungary;Ireland;Italy;Lithuania;Luxembourg;Latvia;Malta;Netherlands;Poland;Portugal;Romania;Sweden;Slovenia;Slovakia
Austria;0;3.508.895.098;1.219.446.974;110.303.935;6.798.104.027;57.703.652.599;1.070.882.723;222.097.456;3.396.512.576;667.100.782;7.157.232.095;791.783.711;2.003.887.404;6.986.291.466;668.176.621;11.935.448.188;455.023.691;221.820.741;198.459.364;37.291.407;3.647.328.156;7.736.710.205;590.836.377;3.721.379.891;1.797.108.226;4.129.867.057;7.887.490.270
Belgium;5.428.910.103;0;1.291.837.989;273.919.634;5.234.997.253;92.298.774.509;4.415.201.361;684.831.912;17.447.802.238;2.875.216.551;68.349.101.960;2.584.856.438;695.684.113;3.586.740.783;5.230.756.362;25.067.943.051;1.219.234.498;7.531.905.913;472.930.583;231.159.214;67.110.312.825;14.434.345.608;3.449.619.853;3.398.925.110;9.278.765.825;993.767.611;1.670.063.639
Bulgaria;679.037.449;933.774.787;0;130.885.052;822.233.470;6.612.332.246;196.946.552;35.755.346;835.204.777;86.490.241;1.413.155.889;2.634.916.703;509.572.004;588.709.651;128.597.902;2.994.720.295;105.998.003;15.003.055;46.142.975;17.678.033;765.505.813;1.107.530.819;127.000.355;4.366.181.463;360.628.417;252.494.113;450.515.854
Cyprus;17.031.068;23.003.669;19.320.815;0;29.422.990;92.108.148;31.698.963;13.494.894;30.578.188;10.455.527;81.630.599;335.505.660;8.013.827;12.594.336;39.009.515;43.440.985;8.772.677;3.351;4.333.905;37.393.403;59.168.588;26.199.948;10.341.508;46.167.350;66.152.240;17.282.764;15.261.538
Czechia;9.643.655.674;5.286.073.405;1.420.116.293;102.023.801;0;78.253.953.190;2.392.692.397;663.280.949;6.055.469.537;987.544.837;11.184.234.526;643.648.457;1.025.896.174;8.423.757.794;1.534.427.408;9.407.076.366;1.078.445.581;424.144.750;479.445.341;39.695.879;7.894.769.861;18.100.846.490;955.195.912;3.828.402.193;3.653.354.062;1.236.822.446;18.080.717.753
Germany;76.350.100.453;58.377.876.256;5.906.901.906;844.172.286;51.024.005.163;0;22.473.751.161;2.461.186.455;53.682.922.932;10.829.465.928;115.094.803.458;8.627.594.434;5.636.483.770;31.594.475.773;9.837.432.681;80.200.418.964;5.212.638.019;6.631.363.889;2.506.234.603;805.397.875;109.130.774.873;93.109.848.818;12.035.120.392;22.138.896.333;27.879.480.251;7.079.925.066;17.797.569.739
Denmark;858.329.898;2.250.320.518;232.955.496;86.052.714;1.401.558.479;18.244.794.459;0;378.720.387;3.191.839.863;2.526.592.625;4.896.274.806;562.250.895;218.256.212;766.521.513;862.238.760;3.097.706.499;554.630.119;109.331.031;368.883.747;88.151.721;8.161.431.118;5.446.346.340;516.750.047;662.216.358;10.941.457.659;169.139.909;401.192.368
Estonia;90.103.531;258.761.081;221.042.557;13.406.523;169.569.453;1.270.272.872;491.465.551;0;193.261.898;2.747.274.549;373.412.969;32.701.317;22.130.923;70.649.917;44.267.230;248.626.783;1.403.699.783;2.624.044;1.935.558.929;4.316.510;679.828.925;650.822.200;45.156.252;73.972.973;1.549.051.479;23.784.931;43.620.393
Spain;2.873.641.041;12.546.808.428;1.068.241.579;693.705.503;4.007.559.855;40.515.168.654;2.560.252.001;379.914.898;0;1.497.206.651;58.806.877.192;3.497.368.441;965.658.403;2.264.282.821;3.985.152.961;34.305.922.222;622.479.945;522.727.343;347.269.312;843.850.416;14.316.860.017;10.105.093.000;33.710.689.937;3.617.148.671;3.365.260.404;869.148.640;2.068.660.342
Finland;496.381.215;2.526.564.506;121.100.242;28.419.610;602.499.137;8.123.761.762;1.240.927.507;2.518.412.084;1.192.556.883;0;2.309.079.473;267.771.087;48.807.622;251.322.484;285.868.094;1.919.574.578;768.961.249;39.204.516;988.460.753;95.001.379;5.677.179.716;2.454.165.769;235.098.093;306.100.482;8.146.062.597;84.125.470;168.155.827
France;5.183.144.406;45.679.289.629;1.160.172.270;328.643.152;6.459.894.623;77.261.065.226;4.193.106.517;439.912.596;43.966.890.001;2.062.322.822;0;4.164.035.283;1.019.554.644;4.346.555.559;5.544.363.175;48.067.727.958;1.084.866.502;3.118.489.366;479.984.436;1.327.439.286;23.002.868.467;15.163.286.645;7.501.833.595;5.312.740.134;5.689.140.778;1.211.629.686;2.730.014.100
Greece;549.876.796;693.847.338;2.945.168.870;3.317.002.810;398.867.710;3.525.565.330;276.162.240;76.019.582;1.571.710.447;156.464.759;1.467.487.418;0;392.353.763;325.611.575;323.977.283;5.284.625.842;75.954.994;56.506.600;45.318.181;502.580.474;1.176.408.445;1.158.904.705;324.089.418;1.823.411.327;330.781.928;469.790.787;253.809.811
Croatia;1.217.665.219;270.499.196;192.384.458;26.823.522;386.731.358;2.868.124.985;146.139.033;11.468.560;417.826.709;51.112.922;568.924.397;161.714.660;0;1.486.114.319;93.049.931;2.742.233.541;82.649.753;13.150.428;38.207.772;110.460.500;404.518.173;523.451.139;89.455.041;361.382.144;241.968.043;2.631.258.778;572.567.532
Hungary;6.105.403.615;3.086.865.215;1.729.768.503;83.516.929;6.315.521.296;36.491.880.980;956.367.999;103.312.323;4.350.757.724;439.228.411;6.039.129.823;815.915.407;2.712.400.954;0;1.128.287.751;7.358.770.740;406.705.636;310.887.382;194.009.991;32.826.949;5.275.185.317;7.952.676.506;708.575.869;8.116.925.031;1.688.624.394;2.166.615.978;6.805.163.544
Ireland;534.022.230;17.079.716.061;149.668.679;94.663.348;513.159.839;20.087.401.861;607.487.946;28.060.477;5.215.715.070;227.187.793;6.343.316.332;490.288.256;132.342.962;663.639.052;0;6.972.025.759;101.078.280;103.191.958;59.553.490;65.029.977;22.908.787.198;1.758.363.903;1.741.763.578;426.652.750;1.259.333.172;145.213.884;194.831.137
Italy;12.540.388.324;19.195.391.577;3.333.694.027;1.023.296.323;8.168.227.756;70.532.158.447;3.850.007.248;687.337.361;34.497.083.749;2.018.064.878;61.686.058.305;7.256.839.205;5.583.744.542;5.776.943.715;3.627.411.004;0;1.443.846.793;815.315.667;818.630.482;2.409.853.530;19.231.922.342;19.655.253.147;5.666.271.620;10.146.729.092;5.952.815.045;5.635.454.733;3.815.275.535
Lithuania;275.869.266;499.174.954;184.921.165;22.544.690;513.010.058;3.230.776.960;908.721.912;2.190.777.751;552.178.487;794.947.226;997.765.958;128.045.261;73.723.583;263.112.400;180.393.420;934.091.335;0;88.574.404;4.374.378.104;8.107.285;2.492.371.508;3.636.655.826;119.040.963;274.118.399;1.573.550.181;89.225.417;226.573.281
Luxembourg;296.475.778;1.906.264.138;38.013.394;5.385.321;163.010.013;3.782.519.224;126.646.357;8.394.374;492.850.349;63.312.683;2.300.664.792;39.462.921;14.023.967;106.833.855;72.522.438;682.938.669;32.980.128;0;10.605.273;3.306.468;929.478.650;377.595.695;93.005.212;109.278.484;170.874.740;42.824.327;70.575.647
Latvia;116.126.017;286.324.334;66.891.919;22.116.323;220.112.745;1.249.452.735;809.824.999;2.221.901.070;262.909.973;558.089.838;478.674.929;36.711.442;21.498.889;124.442.468;95.447.603;301.133.495;3.421.896.461;12.274.282;0;12.631.865;645.654.312;884.067.632;55.493.003;85.927.152;1.044.366.174;32.469.087;63.974.580
Malta;18.083.504;23.723.518;7.505.728;23.763.118;21.941.508;781.910.619;6.742.973;1.862.206;65.880.241;7.517.926;69.649.233;137.662.264;2.995.059;40.668.016;3.758.929;188.939.572;8.483.613;445.279;1.495.920;0;71.261.691;49.573.963;27.267.175;18.021.653;16.725.274;24.106.184;5.264.498
Netherlands;10.927.900.314;98.262.785.212;2.170.625.642;623.484.239;13.623.680.474;199.904.273.902;11.133.804.730;1.373.523.238;30.699.423.106;7.092.445.092;72.039.569.041;4.642.242.446;1.649.959.082;8.192.233.864;10.388.518.892;36.448.539.251;2.219.421.916;2.417.925.333;1.184.038.250;729.272.259;0;27.333.454.300;6.593.390.221;5.687.241.797;19.633.615.407;1.970.892.691;2.871.117.428
Poland;7.222.229.268;7.868.237.705;2.209.694.950;233.497.330;21.730.233.919;96.039.069.885;5.879.646.703;1.612.993.986;10.070.222.550;2.800.501.587;21.347.845.348;1.826.497.845;1.676.460.958;8.876.473.486;1.648.893.621;16.223.476.286;5.979.771.098;565.520.341;2.407.878.746;135.109.645;16.353.922.695;0;1.908.863.526;7.938.975.507;8.515.956.847;1.353.522.577;9.457.129.093
Portugal;459.574.330;2.020.888.584;134.386.908;60.991.415;668.987.650;9.658.927.525;574.257.761;69.758.618;20.455.960.548;496.015.832;9.534.422.560;253.574.927;77.445.554;416.317.131;475.194.667;3.570.319.777;84.811.876;128.715.532;74.302.718;49.800.289;2.834.154.085;1.202.252.637;0;545.561.954;1.072.134.348;75.053.697;470.442.312
Romania;1.884.833.168;1.875.542.263;4.106.614.952;97.563.959;3.086.687.784;19.041.900.987;339.196.031;78.693.238;2.879.251.011;226.196.710;5.867.395.127;1.238.227.935;508.329.007;4.922.811.743;243.839.381;8.847.860.786;204.719.119;22.978.624;79.835.235;46.287.201;3.376.231.646;3.713.736.527;532.236.892;0;746.618.614;470.771.021;2.045.427.992
Sweden;1.897.383.010;8.581.268.461;368.119.258;40.342.650;1.582.262.705;18.370.030.345;12.264.429.524;1.666.867.840;4.025.799.873;12.117.113.958;7.451.377.741;531.287.725;255.724.933;798.660.403;815.217.794;5.311.969.934;1.372.450.650;92.888.365;677.666.310;132.465.283;9.461.920.340;7.005.223.854;836.898.087;583.158.723;0;263.158.958;475.212.743
Slovenia;3.357.106.667;450.488.460;483.045.024;33.704.808;1.729.248.186;8.613.722.007;596.992.259;107.524.231;992.756.442;107.268.978;2.010.252.702;242.554.494;4.993.337.605;2.654.734.517;71.210.785;5.930.156.296;224.920.727;32.575.456;99.702.578;30.239.083;1.072.789.245;2.857.696.189;205.633.319;1.282.169.511;412.002.930;0;1.595.726.690
Slovakia;5.703.946.614;1.415.293.433;833.870.801;58.291.568;13.026.758.171;22.858.304.915;467.989.224;179.015.786;2.427.334.413;291.407.146;5.065.675.860;308.779.079;979.493.068;8.319.743.309;314.467.737;4.632.683.073;267.168.868;116.772.681;252.629.284;12.004.310;2.073.395.520;8.125.912.284;331.754.183;2.813.792.260;1.514.530.580;788.725.021;0
